Retention Time,charge,Light Mass, Light Abundance, Heavy Mass, Heavy Abundance, Ratio
1792.58, 3,442.92956543, 2207009.5, 445.599884033, 3012707.25, 1.36506310915
1792.58, 3,443.255432129, 1091220.875, 445.9269104, 1048737.375, 0.961067918537
1792.58, 3,443.255432129, 1091220.875, 445.928710938, 1881288.125, 1.72402138568
1792.58, 3,443.255432129, 1091220.875, 445.932250977, 1981923.75, 1.81624435108
1792.58, 3,443.255432129, 1091220.875, 445.934051514, 1167880.875, 1.07025158862
1792.58, 3,443.257171631, 2093047.5, 445.9269104, 1048737.375, 0.501057608583
1792.58, 3,443.257171631, 2093047.5, 445.928710938, 1881288.125, 0.898827248307
1792.58, 3,443.257171631, 2093047.5, 445.930480957, 2299166.25, 1.09847781763
1792.58, 3,443.257171631, 2093047.5, 445.932250977, 1981923.75, 0.946908156647
1792.58, 3,443.257171631, 2093047.5, 445.934051514, 1167880.875, 0.557981065886
1792.58, 3,443.25894165, 2706010.75, 445.928710938, 1881288.125, 0.695225665678
1792.58, 3,443.25894165, 2706010.75, 445.930480957, 2299166.25, 0.84965155811
1792.58, 3,443.25894165, 2706010.75, 445.932250977, 1981923.75, 0.732415327618
1792.58, 3,443.26071167, 2466969.5, 445.928710938, 1881288.125, 0.762590751527
1792.58, 3,443.26071167, 2466969.5, 445.930480957, 2299166.25, 0.931980006238
1792.58, 3,443.26071167, 2466969.5, 445.932250977, 1981923.75, 0.803383969684
1792.58, 3,443.262481689, 1553554.5, 445.9269104, 1048737.375, 0.675056700618
1792.58, 3,443.262481689, 1553554.5, 445.928710938, 1881288.125, 1.21095727572
1792.58, 3,443.262481689, 1553554.5, 445.930480957, 2299166.25, 1.47993922968
1792.58, 3,443.262481689, 1553554.5, 445.932250977, 1981923.75, 1.27573493559
1792.58, 3,443.262481689, 1553554.5, 445.934051514, 1167880.875, 0.75174760525
1799.52, 3,442.586456299, 1802295.25, 445.257232666, 1425804.25, 0.791104703849
1799.52, 3,442.586456299, 1802295.25, 445.259002686, 2425940.0, 1.3460280717
1799.52, 3,442.586456299, 1802295.25, 445.260772705, 2846589.0, 1.57942434793
1799.52, 3,442.586456299, 1802295.25, 445.262542725, 2361458.75, 1.31025077606
1799.52, 3,442.586456299, 1802295.25, 445.264343262, 1331560.75, 0.73881388191
1799.52, 3,442.588226318, 2790089.0, 445.257232666, 1425804.25, 0.511024648318
1799.52, 3,442.588226318, 2790089.0, 445.259002686, 2425940.0, 0.869484808549
1799.52, 3,442.588226318, 2790089.0, 445.260772705, 2846589.0, 1.02025025008
1799.52, 3,442.588226318, 2790089.0, 445.262542725, 2361458.75, 0.846373986636
1799.52, 3,442.58996582, 3007977.75, 445.259002686, 2425940.0, 0.806501976286
1799.52, 3,442.58996582, 3007977.75, 445.260772705, 2846589.0, 0.946346428261
1799.52, 3,442.58996582, 3007977.75, 445.262542725, 2361458.75, 0.785065231949
1799.52, 3,442.59173584, 2278303.0, 445.257232666, 1425804.25, 0.625818536867
1799.52, 3,442.59173584, 2278303.0, 445.259002686, 2425940.0, 1.06480130167
1799.52, 3,442.59173584, 2278303.0, 445.260772705, 2846589.0, 1.24943389883
1799.52, 3,442.59173584, 2278303.0, 445.262542725, 2361458.75, 1.03649898631
1799.52, 3,442.59173584, 2278303.0, 445.264343262, 1331560.75, 0.58445288006
1799.52, 3,442.593505859, 1137724.375, 445.257232666, 1425804.25, 1.25320708717
1799.52, 3,442.593505859, 1137724.375, 445.264343262, 1331560.75, 1.17037199805
1799.52, 3,442.92074585, 1178494.875, 445.592773438, 1358464.0, 1.15271099503
1799.52, 3,442.92074585, 1178494.875, 445.594543457, 1757661.25, 1.49144581558
1799.52, 3,442.92074585, 1178494.875, 445.596343994, 1609132.75, 1.36541344739
1799.52, 3,442.92074585, 1178494.875, 445.598114014, 1021270.8125, 0.866589099507
1799.52, 3,442.922515869, 1828016.0, 445.592773438, 1358464.0, 0.743135727477
1799.52, 3,442.922515869, 1828016.0, 445.594543457, 1757661.25, 0.961513055684
1799.52, 3,442.922515869, 1828016.0, 445.596343994, 1609132.75, 0.880261852194
1799.52, 3,442.922515869, 1828016.0, 445.598114014, 1021270.8125, 0.558677173777
1799.52, 3,442.924285889, 1965989.75, 445.592773438, 1358464.0, 0.690982239353
1799.52, 3,442.924285889, 1965989.75, 445.594543457, 1757661.25, 0.894033781204
1799.52, 3,442.924285889, 1965989.75, 445.596343994, 1609132.75, 0.818484811531
1799.52, 3,442.924285889, 1965989.75, 445.598114014, 1021270.8125, 0.519469042247
1799.52, 3,442.926025391, 1481076.0, 445.592773438, 1358464.0, 0.917214241538
1799.52, 3,442.926025391, 1481076.0, 445.594543457, 1757661.25, 1.18674615617
1799.52, 3,442.926025391, 1481076.0, 445.596343994, 1609132.75, 1.08646197089
1799.52, 3,442.926025391, 1481076.0, 445.598114014, 1021270.8125, 0.689546527322
1800.76, 3,442.588226318, 1694412.625, 445.259002686, 1348172.0, 0.795657433206
